Reference,Allegro reference,Value,MPN,Manufacturer,Per board,Selected boards,Selected quantity,Fleet 5 quantity,Status,Population,Review note,Footprint,Source confidence,Source,Source line,Description
C1,C1,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,2,0.1 uF 10% 50 V X7R MLCC 0805
C2,C2,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,6,0.1 uF 10% 50 V X7R MLCC 0805
C3,C3,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,11,0.1 uF 10% 50 V X7R MLCC 0805
C4,C4,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,12,0.1 uF 10% 50 V X7R MLCC 0805
C5,C5,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,13,0.1 uF 10% 50 V X7R MLCC 0805
C6,C6,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,14,0.1 uF 10% 50 V X7R MLCC 0805
C7,C7,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,15,0.1 uF 10% 50 V X7R MLCC 0805
C8,C8,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,16,0.1 uF 10% 50 V X7R MLCC 0805
C9,C9,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,17,0.1 uF 10% 50 V X7R MLCC 0805
C10,C10,4.7uF,CL10A475KP8NNNC,Samsung Electro-Mechanics,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:CAP_0603_CL10A_1P6XP8_SAM-M,MEDIUM,docs/BOM.csv,3,4.7 uF 10% 10 V X5R MLCC 0603 (design gives CL10A + 0603 only; 10 V chosen)
C12,C12,0.1uF,CL10B104KB8NNNC,Samsung Electro-Mechanics,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:CAP_CL10_SAM-M,MEDIUM,docs/BOM.csv,4,0.1 uF 10% 50 V X7R MLCC 0603 (design gives CL10 + 0603 only)
C14,C14,470pF,06035A471JAT2A,Kyocera AVX,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:CAP_0603G_AVX-M,MEDIUM,docs/BOM.csv,5,470 pF 5% 50 V C0G MLCC 0603 (global PN KGM15ACG1H471JT)
C20,C20,10uF,GRM21BR61C106KE15L,Murata,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:G-21_MUR-L,MEDIUM,docs/BOM.csv,7,10 uF 10% 16 V X5R MLCC 0805 (design gives GRM21 only)
C21,C21,10uF,GRM21BR61C106KE15L,Murata,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:G-21_MUR-L,MEDIUM,docs/BOM.csv,8,10 uF 10% 16 V X5R MLCC 0805 (design gives GRM21 only)
C22,C22,0.1uF,KGM21NR71H104KT,Kyocera AVX,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_KGM21_KAV-L,HIGH,docs/BOM.csv,9,0.1 uF 10% 50 V X7R MLCC 0805
C23,C23,47pF,GJM1555C1H220JB01D,Murata,1,1,1,5,HOLD,base population,Source confidence: HIGH (MPN) / value conflict; confirm the suggested selection; Value conflict: BOM value is 47 pF but listed MPN encodes 22 pF; select and verify one before ordering.,LoRa_Boat_Controller:CAP_GJM1555C1H220JB01__MUR-L,HIGH (MPN) / value conflict,docs/BOM.csv,10,"22 pF 5% 50 V C0G MLCC 0402 - NOTE: device name encodes 22 pF, schematic value says 47 pF (GJM1555C1H470JB01D); resolve"
CANHEADER1,CANHEADER,B4B-XH-A,B4B-XH-A(LF)(SN),JST,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CONN_B4B-XH-A_JST,HIGH,docs/BOM.csv,18,XH 2.5 mm 4-position vertical through-hole header
CEXT1,CEXT,4.7uF,CL10A475KP8NNNC,Samsung Electro-Mechanics,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:CAP_0603_CL10A_1P6XP8_SAM-M,MEDIUM,docs/BOM.csv,19,4.7 uF 10% 10 V X5R MLCC 0603 (design gives CL10A + 0603 only; 10 V chosen)
CIN1,CIN,10uF,KTS500B106M55N0T00,Nippon Chemi-Con,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CAP_NTS_55_2P8T_NIP,HIGH,docs/BOM.csv,20,"10 uF 20% 50 V X7R MLCC 2220 (NTS series; not Kemet, not 1210)"
COUT1,COUT,10uF,GRM31CR71E106KA12L,Murata,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:G-31_MUR-M,MEDIUM,docs/BOM.csv,21,10 uF 10% 25 V X7R MLCC 1206 (design gives GRM31 only)
D21,D21,"CMS06(TE12L,Q,M)","CMS06(TE12L,Q,M)",Toshiba,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:M-FLAT_TOS-L,HIGH,docs/BOM.csv,22,"Schottky barrier diode 30 V 2 A, M-FLAT (buck catch diode)"
GND1,GND,Battery-,,,1,1,1,5,BOARD_FEATURE,bare PCB feature,Not a purchased component,LoRa_Boat_Controller:amv_con1,n/a,docs/BOM.csv,23,Bare battery wire solder pad 1.6 mm / 0.6 mm hole (no part)
GPSMODULE1,GPSMODULE,PPTC051LFBN-RC,PPTC051LFBN-RC,Sullins Connector Solutions,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CONN5_1LFBN-RC_SUL,HIGH,docs/BOM.csv,24,"1x5 2.54 mm female header, through-hole"
