Reference,Allegro reference,Value,MPN,Manufacturer,Per board,Selected boards,Selected quantity,Fleet 5 quantity,Status,Population,Review note,Footprint,Source confidence,Source,Source line,Description
C10,C10,4.7uF,CL10A475KP8NNNC,Samsung Electro-Mechanics,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:CAP_0603_CL10A_1P6XP8_SAM-M,MEDIUM,docs/BOM.csv,3,4.7 uF 10% 10 V X5R MLCC 0603 (design gives CL10A + 0603 only; 10 V chosen)
C12,C12,0.1uF,CL10B104KB8NNNC,Samsung Electro-Mechanics,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:CAP_CL10_SAM-M,MEDIUM,docs/BOM.csv,4,0.1 uF 10% 50 V X7R MLCC 0603 (design gives CL10 + 0603 only)
C14,C14,470pF,06035A471JAT2A,Kyocera AVX,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:CAP_0603G_AVX-M,MEDIUM,docs/BOM.csv,5,470 pF 5% 50 V C0G MLCC 0603 (global PN KGM15ACG1H471JT)
C20,C20,10uF,GRM21BR61C106KE15L,Murata,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:G-21_MUR-L,MEDIUM,docs/BOM.csv,7,10 uF 10% 16 V X5R MLCC 0805 (design gives GRM21 only)
C21,C21,10uF,GRM21BR61C106KE15L,Murata,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:G-21_MUR-L,MEDIUM,docs/BOM.csv,8,10 uF 10% 16 V X5R MLCC 0805 (design gives GRM21 only)
C23,C23,47pF,GJM1555C1H220JB01D,Murata,1,1,1,5,HOLD,base population,Source confidence: HIGH (MPN) / value conflict; confirm the suggested selection; Value conflict: BOM value is 47 pF but listed MPN encodes 22 pF; select and verify one before ordering.,LoRa_Boat_Controller:CAP_GJM1555C1H220JB01__MUR-L,HIGH (MPN) / value conflict,docs/BOM.csv,10,"22 pF 5% 50 V C0G MLCC 0402 - NOTE: device name encodes 22 pF, schematic value says 47 pF (GJM1555C1H470JB01D); resolve"
CEXT1,CEXT,4.7uF,CL10A475KP8NNNC,Samsung Electro-Mechanics,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:CAP_0603_CL10A_1P6XP8_SAM-M,MEDIUM,docs/BOM.csv,19,4.7 uF 10% 10 V X5R MLCC 0603 (design gives CL10A + 0603 only; 10 V chosen)
COUT1,COUT,10uF,GRM31CR71E106KA12L,Murata,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:G-31_MUR-M,MEDIUM,docs/BOM.csv,21,10 uF 10% 25 V X7R MLCC 1206 (design gives GRM31 only)
L1,L1,4.7uH,SLF7045T-4R7M2R0-PF,TDK,1,1,1,5,HOLD,base population,Source confidence: HIGH (obsolete); confirm the suggested selection; Source BOM flags the original inductor obsolete; any replacement needs electrical and footprint review.,LoRa_Boat_Controller:IND_7045_TDK,HIGH (obsolete),docs/BOM.csv,26,"4.7 uH 20% 2.0 A shielded power inductor 7x7x4.5 mm - EOL (TDK PCN 2024-07-30, last ship 2026-12-31); substitute VLS6045EX-4R7M-H needs a new footprint"
L3,L3,BLM15 ferrite,BLM15AG601SN1D,Murata,1,1,1,5,HOLD,base population,"Source confidence: TBD; confirm the suggested selection; Source BOM identifies this ferrite as a typical selection, not an established original value.",LoRa_Boat_Controller:IND_BLM15_0402_MUR-L,TBD,docs/BOM.csv,27,Ferrite bead 600 ohm @100 MHz 300 mA 0402 - value not specified in the design (typical pick)
