Reference,MPN,Value,Side,KiCad rotation degrees,Pad 1 net,Pad map,Required check,Verified by,Verified date
J1,XT30PW-M,BATTERY XT30,Top,0.0,VBAT_IN,=NC; =NC; 1=VBAT_IN; 2=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
Q1,AO3401A,AO3401A,Top,0.0,PGATE,1=PGATE; 2=VIN_RAW; 3=VBAT_FUSED,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D2,BZT52C10-7-F,10V,Top,0.0,VIN_RAW,1=VIN_RAW; 2=PGATE,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D1,SMAJ33A,SMAJ33A,Top,0.0,VIN_RAW,1=VIN_RAW; 2=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
C1,EEE-FK1H470P,47uF 50V,Top,0.0,VIN_RAW,1=VIN_RAW; 2=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
U8,INA180A1IDBVR,INA180A1,Top,0.0,ISENSE,1=ISENSE; 2=GND; 3=VIN_RAW; 4=VIN_BUCK; 5=+3V3,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
U2,R1240N001B-TR-FE,R1240N001B-TR-FE,Top,0.0,EN_3V3,1=EN_3V3; 2=VIN_BUCK; 3=SW_3V3; 4=BST_3V3; 5=GND; 6=FB_3V3,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D3,"CMS06(TE12L,Q,M)",CMS06,Top,0.0,GND,1=GND; 2=SW_3V3,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
U3,TPS54202DDCR,TPS54202,Top,0.0,GND,1=GND; 2=SW_5V; 3=VIN_BUCK; 4=FB_5V; 5=EN_5V; 6=BOOT_5V,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D4,SS34,SS34,Top,0.0,VSERVO,1=VSERVO; 2=+5V_BUCK,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D9,SS34,SS34,Top,0.0,VSERVO,1=VSERVO; 2=BEC_IN,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
C11,EEE-FK1A101P,100uF 10V,Top,0.0,VSERVO,1=VSERVO; 2=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
U1,STM32F446RET6,STM32F446RET6,Top,0.0,+3V3,1=+3V3; 2=NC; 3=LSE_IN; 4=LSE_OUT; 5=HSE_IN; 6=HSE_OUT; 7=NRST; 8=NC; 9=LED_LINK; 10=LED_FIX; 11=LED_FAULT; 12=GND; 13=VDDA; 14=LORA_TX_PA0; 15=LORA_RX_PA1; 16=VBAT_SENSE; 17=LORA_NRST_PA3; 18=GND; 19=+3V3; 20=ISENSE; 21=NC; 22=NC; 23=NC; 24=NC; 25=NC; 26=PPS_PB0; 27=NC; 28=NC; 29=NC; 30=VCAP1; 31=GND; 32=+3V3; 33=NC; 34=NC; 35=NC; 36=NC; 37=PWM_ESC_PC6; 38=NC; 39=NC; 40=NC; 41=PWM_SERVO_PA8; 42=VBUS_SENSE; 43=NC; 44=USB_DM; 45=USB_DP; 46=SWDIO; 47=GND; 48=+3V3; 49=SWCLK; 50=NC; 51=GNSS_TX_PC10; 52=GNSS_RX_PC11; 53=NC; 54=NC; 55=SWO; 56=NC; 57=IMU_INT; 58=I2C1_SCL; 59=I2C1_SDA; 60=BOOT0; 61=NC; 62=NC; 63=GND; 64=+3V3,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D5,LTST-C193KGKT-5A,PWR green,Top,0.0,GND,1=GND; 2=LED_PWR,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D6,LTST-C193TBKT-5A,LINK blue,Top,0.0,GND,1=GND; 2=LED_LINK_A,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D7,LTST-C193KSKT-5A,FIX yellow,Top,0.0,GND,1=GND; 2=LED_FIX_A,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D8,LTST-C193KRKT-5A,FAULT red,Top,0.0,GND,1=GND; 2=LED_FAULT_A,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
J4,PPTC051LFBN-RC,LoRa RYLR998,Top,90.0,LORA_VCC,1=LORA_VCC; 2=LORA_NRST; 3=LORA_RXD; 4=LORA_TXD; 5=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
J5,PPTC061LFBN-RC,GNSS,Top,90.0,+3V3,1=+3V3; 2=GND; 3=GNSS_TXD; 4=GNSS_RXD; 5=GNSS_PPS; 6=+3V3,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
U6,ICM-20948,ICM-20948,Top,0.0,,1=NC; 2=NC; 3=NC; 4=NC; 5=NC; 6=NC; 7=NC; 8=+3V3; 9=GND; 10=IMU_REGOUT; 11=GND; 12=IMU_INT; 13=+3V3; 14=NC; 15=NC; 16=NC; 17=NC; 18=GND; 19=NC; 20=GND; 21=NC; 22=+3V3; 23=I2C1_SCL; 24=I2C1_SDA,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
J2,B3B-XH-A(LF)(SN),ESC,Top,0.0,ESC_SIG,1=ESC_SIG; 2=BEC_IN; 3=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
